photos,price_reduced_amount,description.sold_price,description.sqft,description.baths,description.garage,description.stories,description.beds,products.brand_name,description.type_townhomes,days_listed,n_amenities,n_high_amenities,age_yrs,n_rooms
1,0.0,1010000.0,4015.0,4.0,3.0,1.0,4.0,1,0,45,7.0,4.0,18,8.0
1,0.0,825000.0,3085.0,4.0,3.0,2.0,5.0,2,0,64,6.0,3.0,4,9.0
1,0.0,432000.0,2155.0,2.0,0.0,1.0,5.0,1,0,37,1.0,0.0,67,7.0
1,25000.0,745000.0,2800.0,3.0,2.0,1.0,3.0,1,0,88,7.0,5.0,37,6.0
1,0.0,700000.0,2202.0,3.0,2.0,1.0,3.0,1,0,36,4.0,2.0,62,6.0
1,9910.0,436000.0,1418.0,3.0,2.0,1.0,2.0,1,1,126,1.0,1.0,23,5.0
0,0.0,625600.0,2136.0,3.0,2.0,1.0,4.0,2,0,32,1.0,0.0,27,7.0
1,0.0,827522.0,1793.0,2.0,2.0,1.0,3.0,1,0,35,5.0,3.0,80,5.0
1,14000.0,255000.0,1019.0,1.0,0.0,2.0,2.0,1,0,42,4.0,2.0,27,3.0
1,0.0,120000.0,4353.0,2.0,1.0,1.0,2.0,1,0,21,1.0,1.0,19,4.0
1,64000.0,485000.0,1630.5,0.0,0.0,1.0,0.0,2,0,177,0.0,0.0,73,0.0
1,2000.0,267000.0,1120.0,2.0,0.0,2.0,2.0,2,1,53,3.0,1.0,58,4.0
1,0.0,180000.0,767.0,1.0,0.0,1.0,2.0,1,0,24,0.0,0.0,75,3.0
1,0.0,448000.0,2176.0,2.0,3.0,1.0,4.0,1,0,49,1.0,1.0,12,6.0
1,0.0,540000.0,1506.0,2.0,2.0,1.0,3.0,1,0,29,5.0,2.0,34,5.0
1,0.0,271500.0,858.0,1.0,1.0,2.0,1.0,1,0,49,6.0,3.0,24,2.0
1,0.0,345000.0,1564.0,2.0,2.0,1.0,3.0,3,0,32,2.0,0.0,44,5.0
1,0.0,350000.0,1481.0,2.0,1.0,1.0,3.0,2,0,15,2.0,1.0,65,5.0
1,7000.0,28000.0,1296.0,2.0,0.0,1.0,2.0,2,0,95,4.0,2.0,53,4.0
1,10000.0,470000.0,1522.0,2.0,2.0,1.0,3.0,1,0,53,2.0,1.0,22,5.0
1,0.0,389900.0,1363.0,2.0,0.0,1.0,3.0,2,0,35,3.0,1.0,63,5.0
1,0.0,1090000.0,3030.0,5.0,2.0,2.0,5.0,1,0,37,3.0,1.0,3,10.0
1,5000.0,755000.0,3599.0,5.0,3.0,2.0,4.0,1,0,148,6.0,4.0,12,9.0
1,0.0,390000.0,1634.0,2.0,0.0,1.0,3.0,1,0,73,1.0,0.0,68,5.0
1,0.0,349900.0,1154.0,2.0,0.0,1.0,3.0,1,0,67,4.0,1.0,66,5.0
1,0.0,200000.0,1513.0,2.0,0.0,1.0,3.0,1,0,25,0.0,0.0,87,5.0
1,0.0,875000.0,2192.0,0.0,3.0,1.0,4.0,1,0,0,1.0,1.0,67,4.0
1,0.0,515000.0,1899.0,3.0,2.0,2.0,4.0,1,0,53,7.0,4.0,34,7.0
1,0.0,460000.0,1116.0,3.0,1.0,2.0,2.0,2,0,47,6.0,3.0,7,5.0
1,0.0,472000.0,1166.0,2.0,1.0,1.0,3.0,1,0,55,7.0,3.0,77,5.0
1,0.0,513000.0,1845.0,3.0,2.0,2.0,4.0,1,0,39,8.0,4.0,50,7.0
1,0.0,1075000.0,1727.0,2.0,2.0,2.0,3.0,1,0,81,7.0,4.0,97,5.0
1,0.0,465000.0,1284.0,2.0,2.0,1.0,3.0,2,0,37,5.0,2.0,35,5.0
1,0.0,313000.0,1044.0,2.0,2.0,1.0,2.0,2,0,8,6.0,3.0,34,4.0
1,0.0,357000.0,1011.0,2.0,1.0,1.0,3.0,3,0,69,5.0,2.0,59,5.0
1,5000.0,430000.0,1502.0,3.0,2.0,2.0,3.0,1,0,76,6.0,2.0,3,6.0
1,0.0,315000.0,1130.0,1.0,1.0,1.0,2.0,2,0,94,4.0,1.0,82,3.0
1,14000.0,373000.0,1018.0,1.0,1.0,1.0,3.0,1,0,35,5.0,2.0,72,4.0
1,0.0,415000.0,1291.0,1.0,2.0,1.0,3.0,2,0,39,7.0,3.0,84,4.0
1,8000.0,472000.0,1232.0,2.0,2.0,1.0,3.0,2,0,139,4.0,3.0,35,5.0
1,0.0,500100.0,1578.0,2.0,2.0,1.0,4.0,2,0,14,5.0,3.0,45,6.0
1,0.0,903000.0,3391.0,4.0,3.0,2.0,5.0,2,0,24,3.0,1.0,1,9.0
1,0.0,530000.0,1593.0,2.0,2.0,1.0,4.0,1,0,36,8.0,5.0,56,6.0
1,0.0,785000.0,1330.0,2.0,2.0,1.0,3.0,2,0,29,6.0,2.0,76,5.0
1,0.0,610000.0,2148.0,3.0,2.0,2.0,4.0,2,0,44,6.0,4.0,5,7.0
1,10001.0,575000.0,2231.0,3.0,2.0,2.0,4.0,2,0,113,4.0,1.0,22,7.0
1,25000.0,530000.0,957.0,1.0,1.0,1.0,2.0,3,0,100,8.0,4.0,74,3.0
1,0.0,117777.0,1152.0,2.0,0.0,1.0,2.0,1,0,29,5.0,1.0,45,4.0
1,10000.0,595000.0,1152.0,2.0,2.0,1.0,3.0,1,0,66,7.0,4.0,72,5.0
1,20000.0,343000.0,626.0,1.0,1.0,2.0,1.0,2,0,230,2.0,0.0,5,2.0
1,0.0,375000.0,1455.0,2.0,2.0,1.0,3.0,2,0,56,3.0,1.0,61,5.0
1,0.0,468000.0,1433.0,2.0,2.0,1.0,3.0,2,0,58,10.0,5.0,39,5.0
1,0.0,490000.0,1451.0,3.0,2.0,3.0,2.0,2,0,35,5.0,2.0,8,5.0
1,0.0,395000.0,1092.0,2.0,2.0,1.0,3.0,1,0,43,4.0,1.0,64,5.0
1,0.0,599900.0,1540.0,3.0,2.0,2.0,3.0,2,0,44,5.0,2.0,1,6.0
1,20000.0,230000.0,810.0,1.0,0.0,2.0,1.0,1,0,50,4.0,2.0,38,2.0
1,76000.0,775000.0,2347.0,4.0,3.0,1.0,5.0,1,0,63,6.0,2.0,49,9.0
1,0.0,355000.0,1378.0,2.0,2.0,1.0,4.0,2,0,40,8.0,5.0,46,6.0
1,0.0,245000.0,755.0,1.0,0.0,1.0,1.0,1,0,36,8.0,5.0,48,2.0
1,0.0,454000.0,1139.0,2.0,2.0,1.0,4.0,3,0,58,9.0,4.0,52,6.0
1,0.0,445000.0,1209.0,2.0,2.0,1.0,3.0,2,0,28,8.0,3.0,35,5.0
1,16000.0,412000.0,1235.0,2.0,2.0,1.0,3.0,1,0,77,9.0,5.0,35,5.0
1,0.0,800000.0,1984.0,1.0,2.0,2.0,2.0,1,0,52,7.0,5.0,74,3.0
1,36100.0,495000.0,1764.0,2.0,2.0,1.0,4.0,1,0,63,7.0,2.0,60,6.0
1,12000.0,562000.0,1516.0,2.0,2.0,1.0,3.0,2,0,27,5.0,2.0,71,5.0
1,20000.0,527000.0,1815.0,2.0,2.0,1.0,2.0,2,0,168,8.0,5.0,20,4.0
1,0.0,900000.0,4097.0,3.0,3.0,2.0,5.0,2,0,28,7.0,5.0,22,8.0
1,0.0,505000.0,1579.0,2.0,2.0,1.0,4.0,1,0,112,5.0,3.0,46,6.0
1,0.0,392000.0,1131.0,2.0,2.0,1.0,3.0,1,0,34,7.0,4.0,39,5.0
1,5000.0,122000.0,891.0,2.0,0.0,1.0,3.0,1,0,125,6.0,2.0,26,5.0
1,0.0,527500.0,1072.0,1.0,2.0,1.0,2.0,1,0,49,7.0,5.0,52,3.0
1,0.0,689000.0,1781.0,2.0,2.0,2.0,4.0,1,0,37,5.0,3.0,74,6.0
1,0.0,469000.0,1519.0,2.0,2.0,1.0,4.0,2,0,53,7.0,4.0,45,6.0
1,54500.0,1450000.0,3778.0,4.0,1.0,2.0,4.0,1,0,203,10.0,7.0,87,8.0
1,20001.0,492450.0,1890.0,2.0,0.0,1.0,4.0,3,0,85,7.0,5.0,72,6.0
1,19900.0,450000.0,892.0,1.0,1.0,1.0,2.0,1,0,147,9.0,5.0,72,3.0
